SampleDate,Location,N1_Concentration_Merged,N2_Concentration_Merged,N/PMMoV,PV_Concentration_Merged
2021-10-11,North J,0.0,10.7926559,0.0,224000.0
2021-10-11,8th and J,42.8674269,85.7399178,0.00021933333333333334,391000.0
2021-10-11,Rancho Yolo: East 8th Street,0.0,0.0,0.0,431000.0
2021-10-11,South Davis/El Macero,10.5962515,10.5962515,0.0,97600.0
2021-10-11,Peregrine School (downstream),0.0,0.0,0.0,95600.0
2021-10-11,Peregrine School (upstream),0.0,0.0,0.0,276000.0
2021-10-11,Arroyo A,11.2440574,0.0,0.0,126000.0
2021-10-11,Arroyo B,0.0,0.0,0.0,718000.0
2021-10-11,East Central Davis B,0.0,21.7616058,0.0,475000.0
2021-10-11,Rancho Yolo/Research Park,46.0150003,69.0246439,9.833333333333334e-05,703000.0
2021-10-11,Rancho Yolo: Pole Line north of 5th,0.0,0.0,0.0,779000.0
2021-10-11,Cantrill Drive,0.0,0.0,0.0,149000.0
2021-10-11,Olive Drive,46.5383673,34.9032545,0.0,572000.0
2021-10-13,Old East Davis/Wildhorse,0.0,0.0,0.0,64400.0
2021-10-13,Far West Davis,407.494583,454.093284,0.00040833333333333336,1050000.0
2021-10-13,North Davis A,0.0,11.1421632,0.0,212000.0
2021-10-13,North Davis B,22.3803686,11.1900176,0.0,269000.0
2021-10-13,North Davis C,10.9423949,0.0,0.0,426000.0
2021-10-13,North Davis D,0.0,0.0,0.0,236000.0
2021-10-13,Far East Davis,0.0,11.5379046,0.0,160000.0
2021-10-13,North Central Davis,56.6449213,22.6569581,0.0,766000.0
2021-10-13,Central Davis,0.0,0.0,0.0,193000.0
2021-10-13,East Central Davis A,22.1424006,22.1424006,0.0,560000.0
2021-10-13,North J,77.2267818,88.2604598,0.00042733333333333333,194000.0
2021-10-13,8th and J,0.0,0.0,0.0,134000.0
2021-10-13,Rancho Yolo: East 8th Street,0.0,0.0,0.0,220000.0
2021-10-13,South Davis/El Macero,0.0,0.0,0.0,173000.0
2021-10-13,Peregrine School (downstream),0.0,0.0,0.0,696000.0
2021-10-13,Peregrine School (upstream),0.0,0.0,0.0,227000.0
2021-10-13,Arroyo A,0.0,0.0,0.0,221000.0
2021-10-13,Arroyo B,33.4035706,11.1342074,0.0,528000.0
2021-10-13,East Central Davis B,0.0,0.0,0.0,83700.0
2021-10-13,Rancho Yolo/Research Park,0.0,10.8055901,0.0,145000.0
2021-10-13,Rancho Yolo: Pole Line north of 5th,11.3261819,22.6527071,0.0,224000.0
2021-10-13,Cantrill Drive,0.0,0.0,0.0,102000.0
2021-10-13,Olive Drive,34.646957,0.0,0.0,3340000.0
2021-10-07,COD WWTP,0.0,0.0,0.0,665000.0
2021-10-08,COD WWTP,44.5207596,11.1296976,0.0,381000.0
2021-10-09,COD WWTP,0.0,0.0,0.0,99000.0
2021-10-10,COD WWTP,10.6857813,0.0,0.0,53200.0
2021-10-11,COD WWTP,21.4605832,32.191329,0.0,241000.0
2021-10-12,COD WWTP,21.8981671,21.8981671,0.0,288000.0
2021-10-13,COD WWTP,43.5444164,32.6578355,0.0,286000.0
2021-10-18,Rancho Yolo: Pole Line north of 5th,0.0,0.0,0.0,779000.0
2021-10-18,Cantrill Drive,0.0,0.0,0.0,149000.0
2021-10-18,Olive Drive,46.5383673,34.9032545,0.0,572000.0
2021-10-20,Old East Davis/Wildhorse,0.0,24.6641135,0.0,703000.0
2021-10-20,Far West Davis,0.0,134.53289,0.005900333333333333,136000.0
2021-10-20,North Davis A,185.676727,136.154184,0.00095,169000.0
2021-10-20,North Davis B,0.0,12.088803,0.0,65700.0
2021-10-20,North Davis C,0.0,24.8745298,0.0,46500.0
2021-10-20,North Davis D,99.0464402,0.0,0.0031913333333333333,201000.0
2021-10-20,The Cannery,0.0,0.0,0.0,143000.0
2021-10-20,Far East Davis,12.3887348,0.0,0.0,71400.0
2021-10-20,North Central Davis,0.0,0.0,0.0,539000.0
2021-10-20,Central Davis,12.7641654,0.0,0.0,246000.0
2021-10-20,East Central Davis A,36.9422507,0.0,0.0,167000.0
2021-10-20,North J,0.0,0.0,0.0,131000.0
2021-10-20,8th and J,11.7364586,11.7364586,0.0,54400.0
2021-10-20,Rancho Yolo: East 8th Street,24.7954965,37.1938205,0.0,671000.0
2021-10-20,South Davis/El Macero,12.0583272,12.0583272,0.0,204000.0
2021-10-20,Peregrine School (downstream),12.0987296,12.0987296,0.0,157000.0
2021-10-20,Peregrine School (upstream),23.1403685,0.0,0.0,1100000.0
2021-10-20,Arroyo A,0.0,12.3083377,0.0,407000.0
2021-10-20,Arroyo B,140.645742,93.7582302,0.0005283333333333333,222000.0
2021-10-20,East Central Davis B,0.0,0.0,0.0,173000.0
2021-10-20,Rancho Yolo/Research Park,0.0,0.0,0.0,67300.0
2021-10-14,COD WWTP,49.5851898,0.0,0.0,335000.0
2021-10-15,COD WWTP,0.0,12.1114087,0.0,132000.0
2021-10-16,COD WWTP,37.540555,25.0266504,0.0,313000.0
2021-10-17,COD WWTP,12.12044,0.0,0.0,115000.0
2021-10-18,COD WWTP,12.1693826,24.339137,0.0,220000.0
2021-10-19,COD WWTP,11.6204142,0.0,0.0,408000.0
2021-10-20,COD WWTP,12.4458838,12.4458838,0.0,305000.0
2021-10-20,Rancho Yolo: Pole Line north of 5th,23.4726,0.0,0.0,503000.0
2021-10-20,Cantrill Drive,13.6709511,0.0,0.0,679000.0
2021-10-20,Olive Drive,12.4907625,0.0,0.0,611000.0
2021-10-22,Old East Davis/Wildhorse,46.2431335,0.0,0.0,230000.0
2021-10-22,Far West Davis,42.2298431,0.0,0.0,283000.0
2021-10-22,North Davis A,27.5827432,13.7911367,0.0,190000.0
2021-10-22,North Davis B,49.5158195,74.2761374,0.000795,604000.0
2021-10-22,North Davis C,25.5602789,0.0,0.0,427000.0
2021-10-22,North Davis D,38.6013746,38.6013746,0.0,635000.0
2021-10-22,The Cannery,37.6740909,0.0,0.0,249000.0
2021-10-22,Far East Davis,54.3077135,54.3077135,0.001485,215000.0
2021-10-22,North Central Davis,46.7055226,35.0286078,0.0,190000.0
2021-10-22,Central Davis,13.2292866,13.2292866,0.0,380000.0
2021-10-22,East Central Davis A,26.9695162,26.9695162,0.0,409000.0
2021-10-22,North J,12.7356887,0.0,0.0,218000.0
2021-10-22,8th and J,96.366167,0.0,0.0007813333333333334,819000.0
2021-10-22,Rancho Yolo: East 8th Street,36.3515091,0.0,0.0,759000.0
2021-10-22,South Davis/El Macero,24.1600942,12.07986,0.0,209000.0
2021-10-22,Peregrine School (downstream),35.8542204,11.9510424,0.0,137000.0
2021-10-22,Peregrine School (upstream),45.0522137,33.7886667,0.0,143000.0
2021-10-22,Arroyo A,24.8702026,37.3058986,0.0,107000.0
2021-10-22,Arroyo B,110.26619,24.5009566,0.0036386666666666664,198000.0
2021-10-22,East Central Davis B,12.0260179,24.0524102,0.0,195000.0
2021-10-22,Rancho Yolo/Research Park,23.7934923,11.8965626,0.0,235000.0
2021-10-22,Rancho Yolo: Pole Line north of 5th,24.0573215,36.0865354,0.0,153000.0
2021-10-22,Cantrill Drive,23.3945155,0.0,0.0,521000.0
2021-10-22,Olive Drive,26.6108847,13.305217,0.0,91000.0
2021-10-25,Old East Davis/Wildhorse,0.0,13.2432544,0.0,87800.0
2021-10-25,Far West Davis,0.0,0.0,0.0,218000.0
2021-10-25,North Davis A,0.0,0.0,0.0,269000.0
2021-10-25,North Davis B,78.5101747,52.3383713,0.00025100000000000003,260000.0
2021-10-25,North Davis C,0.0,0.0,0.0,215000.0
2021-10-25,North Davis D,37.2878146,12.4288786,0.0,320000.0
2021-10-25,The Cannery,0.0,12.3208332,0.0,26800.0
